Name,Size,Major,SF_status,Gender,Vertex
Johns Hopkins,5180,0.0601910761,0.0969515883,0.0446273393,0.0798049672
Lehigh,5075,0.0405027285,0.0782691139,0.0334091537,0.0351435234
Maine,9069,0.0562923186,0.0319005558,-0.0015936511,0.0731555232
Maryland,20871,0.0494643946,0.0602025258,0.026048771,0.0014223563
Mich,3748,0.0689922719,0.0549623988,0.0261942979,0.1417370334
Michigan,30147,0.0568738077,0.1077348268,0.0345957005,0.1150015159
Middlebury,3075,0.0417123571,0.1399395693,0.017913982,0.0784830583
Mississippi,10521,0.0374569881,0.0587141486,0.049707012,0.1506725762
MIT,6440,0.0528265595,0.1243284708,0.0576147101,0.1200510115
MSU,32375,0.0385534162,0.0623195159,0.0033286642,0.009047465
MU,15436,0.0451257002,0.0661328723,0.0537201392,0.1584601886
Northeastern,13882,0.0942693402,0.0471532738,-0.0020385264,0.068170593
Northwestern,10567,0.0786861671,0.1138803699,0.0466233129,0.0344412908
Notre Dame,12155,0.0447972409,0.1559343175,0.06032117,0.0477131519
NYU,21679,0.1014824614,0.0944650267,-0.000871647,0.01064386
Oberlin,2920,0.0884963274,0.0687489967,0.0095194485,0.0500801769
Oklahoma,17425,0.035566848,0.0433489148,0.0498615651,0.0736732579
Penn,41554,0.0480189155,0.0542650364,0.0100397485,-0.0013267112
Pepperdine,3445,0.0325913774,0.09533154,0.0271680605,0.0555095002
Princeton,6596,0.0506546499,0.1852248403,0.0286508095,0.0910921236
Reed,962,0.0398706743,0.0686802317,0.0112823542,0.0234339118
Rice,4087,0.0458536008,0.130233758,0.0145202634,0.0648616983
Rochester,4563,0.0608204028,0.0749069251,0.0353380304,0.0249557938
Rutgers,24580,0.0563978476,0.0602343171,0.0146086978,0.0757115047
Santa,3578,0.0422419681,0.0676527038,0.0157419411,0.0706336411
Simmons,1518,0.0579646204,0.0584694898,0.0003894884,-0.061966981
Smith,2970,0.0475177173,0.088751548,0.010869394,0.0436172079
Stanford,11621,0.0460048101,0.1493591511,0.0262620804,0.1020255559
Swarthmore,1659,0.0369431677,0.1153367395,0.0299392795,0.0609671358
Syracuse,13653,0.0686612496,0.1089857635,0.0275628233,0.0645487987
Temple,13686,0.0551201968,0.0258017379,-0.029001918,0.0302841127
Tennessee,16979,0.0361764321,0.05098906,0.0248816278,0.0005228069
Texas,31560,0.0581068784,0.070145853,0.0424255627,0.1638924128
Texas,36371,0.0507522264,0.0521952438,0.0290478344,-0.0015042037
Trinity,2613,0.0618808065,0.1156134199,0.0239771056,0.0719056537
Tufts,6682,0.0391036544,0.1579686399,0.0278892083,0.1180314941
Tulane,7752,0.0440992022,0.1246599783,0.0448483771,0.0976005975
UC,6833,0.0361087539,0.0199301384,-0.0127479059,0.125489763
UC,13746,0.0527956795,0.0432153876,0.0019175282,0.1968919462
UC,16808,0.0340075161,0.0360396015,0.0096598202,0.0939293942
UCF,14940,0.0302603891,0.017054484,0.0136726764,-0.0077068408
UChicago,6591,0.0442851155,0.1349603786,0.0210856426,0.0180019954
UCLA,20467,0.04360516,0.0601535869,0.0139726209,0.1360665407
UConn,17212,0.0444012178,0.0568898463,0.0062037676,0.0886209147
UCSB,14935,0.0378562405,0.0574488484,-0.0009765298,0.1830925571
UCSC,8991,0.0452907535,0.0327706123,-0.0119231281,0.1323785514
UCSD,14948,0.0308838932,0.0433824459,0.0141863937,0.0343554116
UF,35123,0.0431775308,0.0777065025,0.03673595,-0.009647878
UGA,24389,0.0312301321,0.0800666438,0.0447606842,0.0896311818
UIllinois,30809,0.0488619154,0.0594032183,0.0520957248,0.0278529365
UMass,16516,0.063368757,0.0605506854,-0.0196480202,-0.0013735847
UNC,18163,0.0434474322,0.0845208264,0.0267220717,0.0000683
UPenn,14916,0.0481293084,0.1659461473,0.0403066166,0.0925413299
USC,17444,0.0752807116,0.0799603507,0.0392634567,0.0055060895
USF,13377,0.0274103232,0.0130625079,-0.0343727122,0.1464241165
USFCA,2682,0.0606035944,0.0290498755,0.0106370768,0.0918948295
UVA,17196,0.0481488419,0.141051302,0.0432797679,0.0255021488
Vanderbilt,8069,0.0472096029,0.13047429,0.0688279617,0.0378326537
Vassar,3068,0.0511349193,0.1282184803,0.0032799438,0.1007814435
Vermont,7324,0.0458740238,0.0638314875,0.0027241867,0.0772049252
Villanova,7772,0.0477440985,0.1177089444,0.0450995478,0.0612686881
Virginia,21325,0.0493373854,0.0611853818,0.030678062,-0.0160740258
Wake,5372,0.0363195036,0.098478391,0.0571812636,0.0709390024
WashU,7755,0.0371951999,0.1308038518,0.0428346863,0.040456404
Wellesley,2970,0.0349428688,0.1498318509,0.0039238961,0.0642532863
Wesleyan,3593,0.046624378,0.1245335891,0.0181820601,0.0950834041
William,6472,0.037881319,0.0947608254,0.0517261015,0.0516014475
Williams,2790,0.0356633015,0.1633957509,0.0320380877,0.0403691554
Wisconsin,23842,0.0354104275,0.0631239036,0.0215049988,-0.0035397316
Yale,8578,0.0443632826,0.1827615843,0.0175680934,0.0186303689
